frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1942,64.733333,1,472.89135,410.042703,418.84593,422.272128,445.86864,416.157416,5.058877,0.787681,-1.049098,2.091167,2.004889,1.439424
1943,64.766667,1,491.034517,406.882203,426.666231,427.713354,458.850374,417.297778,5.002772,-0.618104,-1.219276,5.727276,1.891748,2.554586
1944,64.8,1,512.064095,399.270759,442.036476,420.773792,477.050285,410.022275,3.798875,0.159429,-1.342578,4.541906,1.228149,2.350667
1945,64.833333,1,545.474405,391.124235,455.198078,411.394204,500.336242,401.25922,3.547091,1.26577,-1.49628,2.798404,1.025405,2.032087
1946,64.866667,1,566.822529,385.479752,475.644445,403.596818,521.233487,394.538285,3.418257,0.538231,-1.424654,1.997999,0.996801,1.268115
1947,64.9,1,580.729189,382.757406,485.544167,400.366387,533.136678,391.561897,3.298612,0.715103,-1.566652,1.929314,0.86598,1.322209
1948,64.933333,1,593.613997,382.649946,494.094124,399.230976,543.85406,390.940461,3.104348,0.802652,-1.679884,1.800606,0.712232,1.301629
1949,64.966667,1,601.348505,381.613573,500.11301,396.180511,550.730758,388.897042,3.069919,1.112546,-1.741401,1.529506,0.664259,1.321026
1950,65.0,1,609.517345,380.558349,506.026163,394.145358,557.771754,387.351853,2.954661,1.220544,-1.812193,1.464447,0.571234,1.342495
1951,65.033333,1,614.927521,381.500909,510.299883,393.192712,562.613702,387.346811,3.019018,1.620153,-1.831414,1.387579,0.593802,1.503866
1952,65.066667,1,617.929544,379.872401,513.167915,391.252735,565.54873,385.562568,3.003814,1.490108,-1.809188,1.36426,0.597313,1.427184
1953,65.1,1,622.146749,382.4975,517.761269,392.717779,569.954009,387.607639,2.907366,1.657208,-1.708643,1.361015,0.599362,1.509112
1954,65.133333,1,622.062292,381.053635,517.467833,392.166424,569.765062,386.610029,3.034647,1.10747,-1.686607,1.484122,0.67402,1.295796
1955,65.166667,1,624.721928,379.401501,521.816673,390.39696,573.2693,384.899231,2.88894,1.11332,-1.8398,1.388369,0.52457,1.250845
1956,65.2,1,625.698204,380.106761,522.685804,390.448458,574.192004,385.27761,2.873799,1.347775,-1.758357,1.419138,0.557721,1.383457
1957,65.233333,1,627.730312,376.361293,524.680605,388.001726,576.205459,382.181509,2.880989,1.193592,-1.855772,1.414811,0.512608,1.304201
1958,65.266667,1,627.947588,381.116602,524.58642,391.994344,576.267004,386.555473,2.942964,1.521054,-1.731179,1.480006,0.605893,1.50053
1959,65.3,1,631.796179,379.967297,527.532845,390.405403,579.664512,385.18635,2.973809,1.363752,-1.84582,1.489718,0.563994,1.426735
1960,65.333333,1,631.053362,380.559958,528.662586,390.392014,579.857974,385.475986,2.884827,1.504298,-1.873621,1.259142,0.505603,1.38172
1961,65.366667,1,633.051004,378.640258,530.655527,388.318119,581.853266,383.479189,2.894387,1.174177,-1.891279,1.394661,0.501554,1.284419
1962,65.4,1,635.905361,377.141451,532.96195,385.910128,584.433656,381.525789,2.878372,1.349087,-1.873544,1.438037,0.502414,1.393562
1963,65.433333,1,637.438917,379.884943,535.074024,387.94158,586.256471,383.913261,2.915289,1.348789,-1.917186,1.20491,0.499052,1.27685
1964,65.466667,1,641.742573,380.245163,537.972279,387.952298,589.857426,384.098731,2.997253,1.413847,-1.806151,1.503697,0.595551,1.458772
1965,65.5,1,644.405642,381.00278,541.231575,387.922858,592.818608,384.462819,2.974825,1.35448,-1.761417,1.46421,0.606704,1.409345
1966,65.533333,1,647.382822,381.859295,545.632334,387.361418,596.507578,384.610357,2.832047,1.40826,-1.82377,1.395487,0.504138,1.401874
1967,65.566667,1,650.431824,383.081117,547.574177,387.532049,599.003,385.306583,2.876084,1.609861,-1.755503,1.406959,0.56029,1.50841
1968,65.6,1,652.180004,382.442558,549.578505,387.329918,600.879254,384.886238,2.88376,1.27704,-1.772568,1.469109,0.555596,1.373075
1969,65.633333,1,652.968273,385.240949,549.497375,389.307296,601.232824,387.274123,2.912286,1.489758,-1.820294,1.422426,0.545996,1.456092
1970,65.666667,1,652.614326,382.553644,548.901176,387.6931,600.757751,385.123372,2.864129,1.309634,-1.754628,1.480686,0.55475,1.39516
1971,65.7,1,650.468178,383.695772,546.723375,388.605158,598.595777,386.150465,2.858538,1.46777,-1.867453,1.958242,0.495543,1.713006
1972,65.733333,1,650.871696,384.667622,547.553177,390.154574,599.212437,387.411098,2.899887,1.390817,-1.751813,1.433983,0.574037,1.4124
1973,65.766667,1,649.007912,385.744089,545.911121,391.112391,597.459517,388.42824,2.891222,1.658752,-1.81604,1.351441,0.537591,1.505096
1974,65.8,1,649.128809,383.952953,545.636778,390.38372,597.382793,387.168337,2.86787,1.560365,-1.791556,1.652891,0.538157,1.606628
1975,65.833333,1,648.993883,384.865601,546.057816,391.153418,597.525849,388.009509,2.826801,1.670393,-1.78725,1.525036,0.519776,1.597715
1976,65.866667,1,646.303444,382.222745,542.711382,388.627174,594.507413,385.42496,2.910588,1.800899,-1.838093,1.889239,0.536247,1.845069
1977,65.9,1,645.46443,384.136909,543.235788,389.781286,594.350109,386.959097,2.829108,1.93217,-1.83524,1.390775,0.496934,1.661473
1978,65.933333,1,642.628727,383.892056,539.582205,389.639171,591.105466,386.765614,2.848553,2.128361,-1.936859,1.371929,0.455847,1.750145
1979,65.966667,1,643.861046,386.267409,541.148987,393.072485,592.505016,389.669947,2.876333,1.833173,-1.852044,1.410064,0.512145,1.621619
1980,66.0,1,643.3459,385.779076,540.791893,392.042055,592.068896,388.910565,2.872293,1.376079,-1.827984,1.417782,0.522154,1.39693
1981,66.033333,1,643.520947,381.451761,540.55192,388.000245,592.036433,384.726003,2.833301,1.658777,-1.840447,1.53573,0.496427,1.597253
1982,66.066667,1,641.561909,384.139098,539.21876,390.415971,590.390334,387.277535,2.824057,1.543281,-1.923349,1.145027,0.450354,1.344154
1983,66.1,1,644.333134,383.372469,541.368666,389.483035,592.8509,386.427752,2.940322,1.579651,-1.86822,1.170941,0.536051,1.375296
1984,66.133333,1,640.104761,382.018844,538.631907,388.909889,589.368334,385.464367,2.774744,1.49708,-1.764211,1.316483,0.505266,1.406782
1985,66.166667,1,640.599537,380.397652,538.361111,386.715188,589.480324,383.55642,2.808163,1.359308,-1.868782,1.252524,0.469691,1.305916
1986,66.2,1,634.798536,378.888556,532.632399,386.344206,583.715467,382.616381,2.957628,1.374275,-1.829192,1.44227,0.564218,1.408273
1987,66.233333,1,633.622446,383.234389,531.651182,389.836936,582.636814,386.535662,2.853462,1.236936,-1.752574,1.35119,0.550444,1.294063
1988,66.266667,1,630.351782,385.970392,526.999121,394.278824,578.675451,390.124608,2.981117,1.527226,-1.80951,1.246821,0.585803,1.387023
1989,66.3,1,627.291536,385.378987,524.662561,395.101994,575.977049,390.24049,2.915838,1.530189,-1.765494,1.359501,0.575172,1.444845
1990,66.333333,1,622.423334,381.571323,520.278988,392.683082,571.351161,387.127202,2.947727,1.385891,-1.795933,1.185175,0.575897,1.285533
1991,66.366667,1,621.561184,378.594779,521.238642,390.338209,571.399913,384.466494,2.80981,1.169056,-1.798111,1.131885,0.50585,1.150471
1992,66.4,1,619.279337,374.48247,518.680897,387.059669,568.980117,380.77107,2.829453,1.581424,-1.797423,1.214622,0.516015,1.398023
1993,66.433333,1,619.593315,375.561705,519.276209,388.067697,569.434762,381.814701,2.856038,1.272443,-1.83633,0.942368,0.509854,1.107405
1994,66.466667,1,619.659224,375.976213,518.713083,388.237545,569.186153,382.106879,2.865562,1.378075,-1.782759,1.307037,0.541401,1.342556
1995,66.5,1,618.518057,378.461183,518.951502,390.195783,568.734779,384.328483,2.7904,1.338569,-1.855194,0.979256,0.467603,1.158912
1996,66.533333,1,618.437729,379.860932,518.953733,391.385182,568.695731,385.623057,2.854455,1.395225,-1.821431,1.016597,0.516512,1.205911
1997,66.566667,1,617.578278,378.129652,516.617851,390.450625,567.098064,384.290138,2.998731,1.360097,-1.780931,1.405033,0.6089,1.382565
1998,66.6,1,617.765436,377.853974,517.243414,390.03675,567.504425,383.945362,2.892556,1.300883,-1.83061,1.08325,0.530973,1.192067
1999,66.633333,1,617.847567,378.481343,516.98782,390.713525,567.417693,384.597434,2.960506,1.232218,-1.826551,1.05887,0.566977,1.145544
2000,66.666667,1,617.490129,378.961415,516.635246,392.619427,567.062688,385.790421,2.949272,1.394821,-1.838084,1.228178,0.555594,1.311499
2001,66.7,1,617.52265,376.969264,517.351036,391.752945,567.436843,384.361104,2.918203,1.095621,-1.807759,1.281226,0.555222,1.188424
2002,66.733333,1,618.703661,377.127085,518.293705,392.244422,568.498683,384.685754,2.869817,1.303022,-1.931013,0.978446,0.469402,1.140734
2003,66.766667,1,621.806326,377.974373,521.81571,393.563415,571.811018,385.768894,2.914197,1.316667,-1.855723,1.409355,0.529237,1.363011
2004,66.8,1,623.118639,377.904292,522.351971,394.023167,572.735305,385.96373,2.913843,1.255986,-1.906033,1.334997,0.503905,1.295492
2005,66.833333,1,621.544237,378.423557,522.069731,394.527272,571.806984,386.475415,2.904237,1.23772,-1.881313,1.345189,0.511462,1.291454
2006,66.866667,1,620.768728,378.849192,520.881958,396.480113,570.825343,387.664652,2.908261,0.956483,-1.890015,1.328028,0.509123,1.142256
2007,66.9,1,619.692888,381.329184,519.094381,399.453149,569.393635,390.391166,2.866816,1.47811,-1.873073,1.270129,0.496871,1.374119
2008,66.933333,1,619.4524,382.020657,518.056622,400.273626,568.754511,391.147141,2.969815,1.226964,-1.819756,1.163652,0.57503,1.195308
2009,66.966667,1,617.518787,380.58089,516.916122,399.350131,567.217455,389.96551,2.940557,1.08197,-1.86373,1.314838,0.538413,1.198404
2010,67.0,1,616.015577,377.033948,515.964489,396.766756,565.990033,386.900352,2.956163,1.063205,-1.820112,1.214327,0.568026,1.138766
2011,67.033333,1,617.14097,377.62899,516.738176,396.368115,566.939573,386.998553,2.945933,1.281602,-1.758203,1.225015,0.593865,1.253309
2012,67.066667,1,618.282347,378.099203,518.204374,396.214274,568.243361,387.156739,2.930335,1.372343,-1.758102,1.245989,0.586117,1.309166
2013,67.1,1,619.023886,377.797101,518.495522,395.516675,568.759704,386.656888,2.951855,1.404413,-1.780461,1.302114,0.585697,1.353263
2014,67.133333,1,619.766798,377.900677,519.99568,394.383162,569.881239,386.141919,2.906231,1.496339,-1.768061,1.337547,0.569085,1.416943
2015,67.166667,1,618.752213,377.709843,519.728136,394.276861,569.240174,385.993352,2.93197,1.314769,-1.835357,1.389945,0.548307,1.352357
2016,67.2,1,616.41283,379.694517,517.464972,396.409367,566.938901,388.051942,2.861164,1.574266,-1.965869,1.308444,0.447647,1.441355
2017,67.233333,1,613.330135,373.413234,515.458431,389.604882,564.394283,381.509058,2.842517,1.444223,-1.956769,1.378825,0.442874,1.411524
2018,67.266667,1,609.974604,375.667856,511.779327,393.413565,560.876966,384.54071,3.023612,1.248302,-1.843978,1.503036,0.589817,1.375669
2019,67.3,1,612.842016,374.479659,514.259844,390.618371,563.55093,382.549015,2.932253,1.397112,-1.921125,1.419128,0.505564,1.40812
2020,67.333333,1,607.747211,378.402679,510.109072,394.681242,558.928142,386.54196,2.945895,1.388127,-1.884218,1.395362,0.530839,1.391745
2021,67.366667,1,609.039345,378.66016,511.284771,394.040955,560.162058,386.350558,2.867998,1.208561,-1.823716,1.36243,0.522141,1.285496
2022,67.4,1,608.62668,380.530862,509.783907,396.251256,559.205294,388.391059,3.00307,1.329355,-1.887657,1.391158,0.557707,1.360257
2023,67.433333,1,608.622141,377.712579,510.890265,393.473969,559.756203,385.593274,2.898529,1.131741,-1.854247,1.306344,0.522141,1.219042
2024,67.466667,1,607.461014,374.770056,508.645277,390.875809,558.053145,382.822933,3.01207,1.428177,-1.907238,1.316588,0.552416,1.372382
2025,67.5,1,609.848261,373.684072,512.157364,389.671057,561.002812,381.677565,2.846413,1.241281,-1.78428,1.214163,0.531066,1.227722
2026,67.533333,1,611.547985,373.421763,512.923498,389.157994,562.235742,381.289878,3.01878,1.318482,-1.850036,1.33987,0.584372,1.329176
2027,67.566667,1,614.949694,374.597923,517.405386,389.625471,566.17754,382.111697,2.943119,1.42986,-1.840228,1.06613,0.551446,1.247995
2028,67.6,1,617.444801,383.53397,519.522562,397.428253,568.483682,390.481111,2.980126,1.509442,-1.848867,1.20259,0.56563,1.356016
2029,67.633333,1,619.766951,376.112555,522.348881,390.029336,571.057916,383.070946,2.877302,1.16656,-1.935764,1.047479,0.470769,1.107019
2030,67.666667,1,625.269928,378.061395,527.04505,391.350893,576.157489,384.706144,2.841327,1.052844,-1.879327,1.452099,0.481,1.252472
2031,67.7,1,624.01844,376.074135,524.607143,389.929601,574.312792,383.001868,2.986523,1.169641,-1.750244,1.449615,0.618139,1.309628
