frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1484,49.466667,1,766.984386,377.941715,668.156853,374.963679,717.57062,376.452697,2.895146,1.845303,-1.918595,1.502091,0.488275,1.673697
1485,49.5,1,766.536674,378.07531,667.562828,374.878739,717.049751,376.477025,2.895796,1.860809,-1.921261,1.418123,0.487267,1.639466
1486,49.533333,1,766.01963,377.85332,667.511616,374.943756,716.765623,376.398538,2.841699,1.78038,-1.927927,1.388823,0.456886,1.584602
1487,49.566667,1,765.491695,377.866141,667.017078,375.060014,716.254387,376.463077,2.846982,1.836891,-1.904928,1.327509,0.471027,1.5822
1488,49.6,1,765.383644,377.471813,666.983261,374.845351,716.183453,376.158582,2.830286,1.827211,-1.88356,1.416243,0.473363,1.621727
1489,49.633333,1,765.43499,377.123802,666.551991,374.649678,715.99349,375.88674,2.876806,1.842855,-1.879306,1.562616,0.49875,1.702735
1490,49.666667,1,765.219898,377.10552,666.641827,374.5206,715.930862,375.81306,2.864438,1.824898,-1.864798,1.535343,0.49982,1.680121
1491,49.7,1,765.164509,377.019818,666.334381,374.551295,715.749445,375.785556,2.859783,1.94704,-1.866846,1.666106,0.496468,1.806573
1492,49.733333,1,765.075226,376.847545,666.434822,374.474745,715.755024,375.661145,2.834792,1.932606,-1.880754,1.888273,0.477019,1.91044
1493,49.766667,1,765.190105,376.490543,666.137409,374.089741,715.663757,375.290142,2.837583,1.936134,-1.898028,1.90716,0.469777,1.921647
1494,49.8,1,765.009174,376.741029,666.532669,373.954922,715.770922,375.347975,2.830631,1.906679,-1.889517,1.839609,0.470557,1.873144
1495,49.833333,1,765.46648,376.665455,666.732178,373.840349,716.099329,375.252902,2.804788,1.862491,-1.881164,1.937735,0.461812,1.900113
1496,49.866667,1,765.975513,376.399906,667.242603,373.861173,716.609058,375.13054,2.805999,1.870019,-1.886801,2.069102,0.459599,1.969561
1497,49.9,1,766.623688,376.522772,667.808056,374.050677,717.215872,375.286725,2.808401,1.840756,-1.878336,2.306887,0.465032,2.073822
1498,49.933333,1,767.399826,376.646959,669.275131,373.363731,718.337479,375.005345,2.776354,1.83563,-1.874384,1.995003,0.450985,1.915316
