frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1215,40.5,1,663.079529,433.787881,541.022844,431.813164,602.051187,432.800522,2.697995,2.315686,-1.716102,1.790458,0.490946,2.053072
1216,40.533333,1,663.020325,434.035556,541.172075,431.680137,602.0962,432.857847,2.709905,2.296877,-1.690324,1.812218,0.509791,2.054547
1217,40.566667,1,662.655563,433.850323,540.952291,431.675234,601.803927,432.762778,2.731802,2.189661,-1.699073,1.746078,0.516365,1.96787
1218,40.6,1,662.654133,433.730675,541.192017,431.145616,601.923075,432.438145,2.708314,2.341616,-1.661067,1.817713,0.523624,2.079664
1219,40.633333,1,662.63525,433.288926,540.633364,430.241325,601.634307,431.765125,2.733665,2.32735,-1.773214,1.7049,0.480225,2.016125
1220,40.666667,1,662.587967,432.223166,540.695333,429.477367,601.64165,430.850267,2.723691,2.3646,-1.691863,1.76269,0.515914,2.063645
1221,40.7,1,662.557297,430.727631,540.166883,427.703505,601.36209,429.215568,2.71881,2.418729,-1.735062,1.716629,0.491874,2.067679
1222,40.733333,1,661.721363,428.82632,539.541245,425.588583,600.631304,427.207451,2.753978,2.131903,-1.773772,1.69075,0.490103,1.911326
1223,40.766667,1,661.24939,427.202425,539.143009,423.201417,600.196199,425.201921,2.740664,2.124772,-1.815717,1.719262,0.462473,1.922017
1224,40.8,1,659.804726,425.844476,538.150024,420.961429,598.977375,423.402953,2.725451,2.202517,-1.788366,1.713549,0.468543,1.958033
1225,40.833333,1,658.903065,423.564942,537.224226,419.263687,598.063645,421.414315,2.708441,2.214295,-1.798248,1.762494,0.455097,1.988394
1226,40.866667,1,658.101768,421.182561,536.141338,417.592285,597.121553,419.387423,2.649996,1.915984,-1.780977,1.686657,0.434509,1.801321
1227,40.9,1,656.884937,419.742494,535.732136,415.669184,596.308537,417.705839,2.6689,1.965198,-1.670385,1.7866,0.499257,1.875899
1228,40.933333,1,656.171303,417.135097,534.641094,413.219619,595.406199,415.177358,2.75268,1.82537,-1.648537,1.882222,0.552071,1.853796
1229,40.966667,1,653.502178,415.944647,532.051725,411.120361,592.776952,413.532504,2.825515,2.035207,-1.74464,1.837362,0.540438,1.936284
1230,41.0,1,651.964245,414.085157,532.550592,409.634911,592.257419,411.860034,2.790568,1.520265,-1.688061,2.036968,0.551254,1.778616
1231,41.033333,1,650.632553,413.467079,530.142527,407.733192,590.38754,410.600136,2.822247,1.995728,-1.743296,1.784332,0.539476,1.89003
1232,41.066667,1,649.622583,411.908866,529.893322,407.298728,589.757953,409.603797,2.856271,1.614882,-1.698636,1.927134,0.578817,1.771008
1233,41.1,1,650.16077,412.47772,528.791571,407.104472,589.476171,409.791096,2.862317,1.92027,-1.62132,2.387485,0.620499,2.153877
1234,41.133333,1,649.911938,412.9557,527.938824,407.647909,588.925381,410.301805,2.870704,1.838688,-1.636408,2.31171,0.617148,2.075199
1235,41.166667,1,649.438162,413.336338,527.644196,408.185617,588.541179,410.760977,2.897868,1.98546,-1.646983,2.539332,0.625442,2.262396
1236,41.2,1,649.363537,413.710248,527.271032,408.440963,588.317285,411.075606,2.899837,1.838952,-1.560967,2.362388,0.669435,2.10067
1237,41.233333,1,649.542007,413.730547,526.443224,408.51629,587.992616,411.123419,2.859015,1.826284,-1.571761,2.308287,0.643627,2.067286
1238,41.266667,1,648.194971,413.946701,527.137823,408.557081,587.666397,411.251891,2.885667,1.863923,-1.595598,2.5126,0.645034,2.188262
1239,41.3,1,648.598566,413.438948,526.504498,408.45903,587.551532,410.948989,2.848961,1.895098,-1.579152,2.124066,0.634905,2.009582
1240,41.333333,1,649.040022,413.748218,526.502256,407.231834,587.771139,410.490026,2.885276,2.085306,-1.552746,2.030721,0.666265,2.058014
1241,41.366667,1,649.137774,413.265624,526.655655,407.092284,587.896714,410.178954,2.860134,1.973401,-1.550798,1.94952,0.654668,1.961461
1242,41.4,1,650.328693,413.003304,527.312136,406.73334,588.820415,409.868322,2.868595,2.019199,-1.551172,1.893315,0.658712,1.956257
1243,41.433333,1,651.877899,413.176532,530.606585,405.203011,591.242242,409.189771,2.815058,1.899598,-1.562943,1.983814,0.626057,1.941706
1244,41.466667,1,652.256346,412.449138,531.999559,405.218021,592.127953,408.833579,2.813912,2.000085,-1.615822,2.207973,0.599045,2.104029
1245,41.5,1,654.283791,412.490659,533.078966,403.748256,593.681378,408.119457,2.824163,2.297044,-1.603996,2.032848,0.610083,2.164946
1246,41.533333,1,655.969448,411.784573,534.725103,403.131884,595.347276,407.458228,2.824173,2.130925,-1.58354,2.259062,0.620317,2.194994
1247,41.566667,1,656.976337,411.573429,536.159124,402.657573,596.567731,407.115501,2.791816,2.011808,-1.638881,1.662235,0.576467,1.837021
1248,41.6,1,657.938175,410.387785,537.740936,402.470194,597.839556,406.42899,2.798768,1.757627,-1.625126,1.69073,0.586821,1.724178
1249,41.633333,1,657.502861,408.808823,538.087969,401.766082,597.795415,405.287452,2.779463,1.492463,-1.641247,1.837398,0.569108,1.664931
1250,41.666667,1,654.553394,407.083669,537.10989,400.767817,595.831642,403.925743,2.760127,1.612452,-1.716309,1.535656,0.521909,1.574054
1251,41.7,1,650.137329,405.389596,529.191904,402.116786,589.664617,403.753191,2.66036,1.899526,-1.853748,1.548358,0.403306,1.723942
1252,41.733333,1,646.2638,403.099719,527.106485,400.809263,586.685143,401.954491,2.724045,1.696437,-1.903747,1.457923,0.410149,1.57718
1253,41.766667,1,642.314501,402.260617,527.002516,399.2484,584.658508,400.754508,2.712167,1.398303,-1.806566,1.371891,0.452801,1.385097
1254,41.8,1,642.343721,403.36588,521.082745,398.93589,581.713233,401.150885,2.717192,1.508423,-1.89239,1.707353,0.412401,1.607888
1255,41.833333,1,642.485237,403.134491,517.624578,396.905544,580.054908,400.020018,2.871319,1.469533,-1.997737,1.651499,0.436791,1.560516
1256,41.866667,1,640.740395,403.26637,517.803402,394.948808,579.271898,399.107589,2.865844,1.625028,-1.972345,1.453752,0.446749,1.53939
1257,41.9,1,641.291466,403.657286,512.584286,395.526298,576.937876,399.591792,2.879324,1.839993,-2.109559,1.957567,0.384882,1.89878
1258,41.933333,1,637.371159,403.64498,511.667433,395.787363,574.519296,399.716172,2.810625,1.539291,-2.131871,1.76042,0.339377,1.649856
1259,41.966667,1,636.749544,403.776183,512.283268,395.496612,574.516406,399.636397,2.847303,1.496895,-2.111384,1.671503,0.36796,1.584199
1260,42.0,1,635.671148,403.534527,509.622564,395.574149,572.646856,399.554338,2.901708,1.485979,-2.068336,1.543404,0.416686,1.514691
1261,42.033333,1,634.600182,404.043009,514.808254,395.111071,574.704218,399.57704,2.848594,1.751423,-1.977421,1.542537,0.435587,1.64698
